 VARIABLES = X,Y,U,V,sy,w,p
 ZONE     i=         101          j=         101                       F=POINT
   7.99999982E-02   1.99999996E-02  -2.64702045E-04   1.39843498E-04  -1.46633192E-06   2.78683659E-02  -4.63150762E-04
   8.99999961E-02   1.99999996E-02  -4.25718841E-04   1.75365800E-04  -3.04652417E-06   3.60792167E-02  -5.85134781E-04
   9.99999940E-02   1.99999996E-02  -6.18453836E-04   2.08991594E-04  -4.97364772E-06   4.55448367E-02  -7.09549407E-04
  0.109999999       1.99999996E-02  -8.41183180E-04   2.40343637E-04  -7.22635605E-06   5.62350266E-02  -8.33501399E-04
  0.119999997       1.99999996E-02  -1.09187653E-03   2.69212091E-04  -9.78052049E-06   6.80964515E-02  -9.54509538E-04
  0.129999995       1.99999996E-02  -1.36832322E-03   2.95501552E-04  -1.26105979E-05   8.10597688E-02  -1.07046764E-03
  0.140000001       1.99999996E-02  -1.66822399E-03   3.19194689E-04  -1.56905517E-05   9.50449929E-02  -1.17960828E-03
  0.149999991       1.99999996E-02  -1.98925473E-03   3.40327184E-04  -1.89944913E-05  0.109965488      -1.28045969E-03
  0.159999996       1.99999996E-02  -2.32911296E-03   3.58970283E-04  -2.24970954E-05  0.125730917      -1.37180998E-03
  0.170000002       1.99999996E-02  -2.68554757E-03   3.75217060E-04  -2.61738969E-05  0.142249435      -1.45266764E-03
  0.179999992       1.99999996E-02  -3.05637880E-03   3.89172783E-04  -3.00014362E-05  0.159429222      -1.52223231E-03
  0.189999998       1.99999996E-02  -3.43951117E-03   4.00949124E-04  -3.39573526E-05  0.177179575      -1.57986500E-03
  0.199999988       1.99999996E-02  -3.83293885E-03   4.10657434E-04  -3.80204183E-05  0.195411652      -1.62506185E-03
  0.209999993       1.99999996E-02  -4.23474656E-03   4.18405776E-04  -4.21705008E-05  0.214038938      -1.65743020E-03
  0.219999999       1.99999996E-02  -4.64310776E-03   4.24295285E-04  -4.63885335E-05  0.232977495      -1.67667016E-03
  0.229999989       1.99999996E-02  -5.05627645E-03   4.28418571E-04  -5.06564065E-05  0.252145976      -1.68255402E-03
  0.239999995       1.99999996E-02  -5.47258696E-03   4.30859654E-04  -5.49569049E-05  0.271465749      -1.67492637E-03
  0.250000000       1.99999996E-02  -5.89044299E-03   4.31692577E-04  -5.92735996E-05  0.290860534      -1.65367813E-03
  0.259999990       1.99999996E-02  -6.30830601E-03   4.30979184E-04  -6.35907563E-05  0.310256422      -1.61873805E-03
  0.269999981       1.99999996E-02  -6.72469102E-03   4.28772182E-04  -6.78931829E-05  0.329581589      -1.57007598E-03
  0.280000001       1.99999996E-02  -7.13815680E-03   4.25113831E-04  -7.21662000E-05  0.348766088      -1.50768843E-03
  0.289999992       1.99999996E-02  -7.54729891E-03   4.20036667E-04  -7.63954595E-05  0.367741495      -1.43160112E-03
  0.299999982       1.99999996E-02  -7.95073621E-03   4.13566158E-04  -8.05669333E-05  0.386440843      -1.34185527E-03
  0.310000002       1.99999996E-02  -8.34711269E-03   4.05718311E-04  -8.46667826E-05  0.404798299      -1.23852596E-03
  0.319999993       1.99999996E-02  -8.73508491E-03   3.96504416E-04  -8.86812995E-05  0.422748983      -1.12170668E-03
  0.329999983       1.99999996E-02  -9.11332015E-03   3.85930616E-04  -9.25968707E-05  0.440228879      -9.91516281E-04
  0.340000004       1.99999996E-02  -9.48049221E-03   3.73998046E-04  -9.63999119E-05  0.457174659      -8.48105527E-04
  0.349999994       1.99999996E-02  -9.83527955E-03   3.60707432E-04  -1.00076832E-04  0.473523736      -6.91652065E-04
  0.359999985       1.99999996E-02  -1.01763643E-02   3.46058747E-04  -1.03614060E-04  0.489214122      -5.22372662E-04
  0.370000005       1.99999996E-02  -1.05024297E-02   3.30049807E-04  -1.06998006E-04  0.504184544      -3.40515573E-04
  0.379999995       1.99999996E-02  -1.08121643E-02   3.12682823E-04  -1.10215056E-04  0.518374503      -1.46379287E-04
  0.389999986       1.99999996E-02  -1.11042652E-02   2.93963618E-04  -1.13251663E-04  0.531724274       5.96893333E-05
  0.399999976       1.99999996E-02  -1.13774408E-02   2.73902348E-04  -1.16094328E-04  0.544175506       2.77297106E-04
